time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1702338952420397800,278.43639770507815,-0.7833099961280823,-0.013659000396728516,0.0018700000364333391,0.6214780211448669,-0.01405237428843975,-0.02372501604259014,1.800018548965454
1702338952519660300,278.5356604003906,-0.78329998254776,-0.013669000007212162,0.001863999990746379,0.6214900016784668,-0.014074578881263733,-0.023732997477054596,1.7999866008758545
1702338952618924300,278.6349243164062,-0.7832989692687988,-0.013643999584019184,0.0018599999602884054,0.6214919686317444,-0.014049803838133812,-0.023688826709985733,1.7999829053878784
1702338952718188500,278.7341884765625,-0.7832880020141602,-0.013667999766767025,0.001820000004954636,0.6215050220489502,-0.014142726548016071,-0.023676451295614243,1.7999473810195923
1702338952817451000,278.83345092773436,-0.7832940220832825,-0.013644999824464321,0.0018129999516531825,0.6214979887008667,-0.014124869368970394,-0.02363184466958046,1.7999664545059204
1702338952916713500,278.93271337890627,-0.7833020091056824,-0.013635999523103237,0.0018609999679028988,0.6214879751205444,-0.014038165099918842,-0.023677602410316467,1.7999927997589111
1702338953015977500,279.0319775390625,-0.7833049893379211,-0.013628000393509865,0.0018840000266209245,0.6214839816093445,-0.013992059044539928,-0.02369372919201851,1.8000026941299438
1702338953115240000,279.13123999023435,-0.7833030223846436,-0.0136329997330904,0.0018840000266209245,0.621487021446228,-0.013998366892337799,-0.023701520636677742,1.7999961376190186
1702338953214504000,279.23050390625,-0.7832919955253601,-0.013635000213980675,0.0019109999993816018,0.6215009689331055,-0.013958975672721863,-0.02373798005282879,1.7999610900878906
1702338953313766700,279.3297666015625,-0.7833070158958435,-0.013629999943077564,0.0019049999536946416,0.6214820146560669,-0.013961582444608212,-0.023723021149635315,1.8000092506408691
1702338953413029000,279.4290290527344,-0.7833020091056824,-0.01362599991261959,0.0019249999895691872,0.6214879751205444,-0.013925451785326004,-0.023741504177451134,1.799993634223938
1702338953512293000,279.5282932128906,-0.7833179831504822,-0.013632000423967838,0.0019650000613182783,0.6214680075645447,-0.013869636692106724,-0.02380099706351757,1.8000456094741821
1702338953611555600,279.6275556640625,-0.7833160161972046,-0.013638000003993511,0.001943000010214746,0.6214699745178223,-0.01391163095831871,-0.023783003911376,1.8000390529632568
1702338953710819600,279.72681958007814,-0.7833269834518433,-0.013620000332593918,0.0019099999917671084,0.6214560270309448,-0.013940522447228432,-0.023714011535048485,1.8000738620758057
1702338953810082000,279.82608203125,-0.7833290100097656,-0.013659999705851078,0.0019389999797567725,0.6214540004730225,-0.01394477766007185,-0.02381279692053795,1.8000807762145996
1702338953909346300,279.9253461914063,-0.7833340167999268,-0.013647999614477158,0.0019570000004023314,0.6214470267295837,-0.013901438564062119,-0.023816479369997978,1.8000973463058472
1702338954008608800,280.02460888671874,-0.7833390235900879,-0.013663999736309052,0.0019369999645277858,0.6214399933815002,-0.013952466659247875,-0.023816797882318497,1.8001134395599365
1702338954107872800,280.12387280273435,-0.7833359837532043,-0.013638000003993511,0.0019489999394863844,0.6214450001716614,-0.013901472091674805,-0.023790908977389336,1.8001033067703247
1702338954207135200,280.22313525390626,-0.7833439707756042,-0.01360199972987175,0.0019489999394863844,0.6214359998703003,-0.013856414705514908,-0.023734673857688904,1.800128698348999
1702338954306399200,280.3223991699219,-0.7833439707756042,-0.01361900009214878,0.0019549999851733446,0.6214359998703003,-0.013868160545825958,-0.023768777027726173,1.800128698348999
1702338954405662000,280.4216618652344,-0.7833459973335266,-0.013623000122606754,0.0019470000406727195,0.6214330196380615,-0.01388558093458414,-0.023765143007040024,1.8001352548599243
1702338954504926000,280.5209260253906,-0.7833420038223267,-0.013615000061690807,0.0019039999460801482,0.6214380264282227,-0.013943157158792019,-0.02369905821979046,1.8001219034194946
1702338954604188400,280.6201884765625,-0.7833300232887268,-0.01361900009214878,0.0018980000168085098,0.6214529871940613,-0.013957987539470196,-0.02369759790599346,1.8000832796096802
1702338954703451000,280.7194509277344,-0.7833179831504822,-0.013631000183522701,0.0018599999602884054,0.6214680075645447,-0.014032910577952862,-0.023668885231018066,1.800044059753418
1702338954802713300,280.81871337890624,-0.783312976360321,-0.013638000003993511,0.001832999987527728,0.621474027633667,-0.0140841044485569,-0.023646172136068344,1.8000277280807495
1702338954901977600,280.9179775390625,-0.7832949757575989,-0.013623000122606754,0.00184599997010082,0.6214969754219055,-0.014045767486095428,-0.023638423532247543,1.7999697923660278
1702338955001240000,281.0172399902344,-0.7832909822463989,-0.013597000390291214,0.0018360000103712082,0.6215019822120667,-0.014029243029654026,-0.023585157468914986,1.7999567985534668
1702338955100505600,281.11650561523436,-0.7832559943199158,-0.013663000427186489,0.0020000000949949026,0.6215440034866333,-0.013855685479938984,-0.02389170229434967,1.7998472452163696
1702338955199768000,281.21576806640627,-0.7832800149917603,-0.013873999938368797,0.0011889999732375145,0.6215119957923889,-0.015387829393148422,-0.023214492946863174,1.7999153137207031
1702338955299030500,281.3150305175781,-0.78473299741745,-0.014681999571621418,-0.002374999923631549,0.6196539998054504,-0.021929189562797546,-0.020100897178053856,1.8045907020568848
1702338955398294800,281.41429467773435,-0.7833269834518433,-0.014062999747693539,-0.000060999998822808266,0.6214489936828613,-0.017579583451151848,-0.021957801654934883,1.800057053565979
1702338955497557200,281.51355712890626,-0.7816770076751709,-0.013829000294208527,0.0006820000126026571,0.6235290169715881,-0.01618415117263794,-0.02247200720012188,1.7947591543197632
1702338955596821200,281.6128212890625,-0.7787799835205078,-0.013875000178813934,0.0008449999731965363,0.6271420121192932,-0.016091883182525635,-0.022672956809401512,1.7854950428009033
1702338955696083700,281.7120837402344,-0.7733179926872253,-0.014589999802410603,-0.0025369999930262566,0.6338440179824829,-0.022425463423132896,-0.019350500777363777,1.7681666612625122
1702338955795347700,281.81134765625,-0.7738540172576904,-0.01449199952185154,-0.0021170000545680523,0.6331930160522461,-0.021634871140122414,-0.019749728962779045,1.769856333732605
1702338955894610200,281.91061010742186,-0.7734599709510803,-0.01412499975413084,-0.000846999988425523,0.6336860060691833,-0.019217200577259064,-0.020778274163603783,1.7686086893081665
1702338955993873000,282.0098728027344,-0.7722520232200623,-0.013554999604821205,0.0018970000091940165,0.6351680159568787,-0.014293862506747246,-0.023347700014710426,1.764817714691162
1702338956093137000,282.1091369628906,-0.772258996963501,-0.013562999665737152,0.0018560000462457538,0.6351590156555176,-0.01436709426343441,-0.02330811694264412,1.7648392915725708
1702338956192399400,282.2083994140625,-0.7722510099411011,-0.01351999957114458,0.00190100003965199,0.6351699829101562,-0.01424324419349432,-0.02329869009554386,1.7648143768310547
1702338956291661800,282.30766186523437,-0.7722470164299011,-0.01351999957114458,0.0019160000374540687,0.6351739764213562,-0.01422019861638546,-0.02331765741109848,1.7648022174835205
1702338956390925800,282.40692578125,-0.7722370028495789,-0.01347499992698431,0.001981999957934022,0.6351869702339172,-0.014061431400477886,-0.023331783711910248,1.7647713422775269
1702338956490188500,282.5061884765625,-0.7722299695014954,-0.01348700001835823,0.002015999983996153,0.6351959705352783,-0.014024442061781883,-0.023393375799059868,1.76474928855896
1702338956589452500,282.6054526367187,-0.7722110152244568,-0.013453999534249306,0.0020939998794347048,0.6352199912071228,-0.01386273093521595,-0.023441100493073463,1.7646903991699219
1702338956688716500,282.7047165527344,-0.7721999883651733,-0.0134680001065135,0.0021490000654011965,0.6352329850196838,-0.013795978389680386,-0.023532383143901825,1.7646565437316895
1702338956787979000,282.80397900390625,-0.7722020149230957,-0.013460000045597553,0.0021669999696314335,0.6352289915084839,-0.013757887296378613,-0.023542936891317368,1.7646636962890625
1702338956887243000,282.90324291992187,-0.7722029685974121,-0.013441000133752823,0.002202000003308058,0.6352289915084839,-0.013679666444659233,-0.023558087646961212,1.7646667957305908
1702338956986505700,283.0025056152344,-0.7721859812736511,-0.013422000221908092,0.0022670000325888395,0.6352490186691284,-0.013555726036429405,-0.023610973730683327,1.7646143436431885
1702338957085768200,283.1017683105469,-0.7721750140190125,-0.013406000100076199,0.002343999920412898,0.635263979434967,-0.01341690681874752,-0.023683888837695122,1.7645803689956665
1702338957185032200,283.2010322265625,-0.7721629738807678,-0.01338099967688322,0.0023999998811632395,0.6352779865264893,-0.013299057260155678,-0.023716183379292488,1.7645434141159058
1702338957284296200,283.30029614257813,-0.7721530199050903,-0.013368000276386738,0.002382999984547496,0.6352900266647339,-0.013309155590832233,-0.023674286901950836,1.764512062072754
1702338957383557000,283.3995571289062,-0.7721359729766846,-0.013349000364542007,0.00240899994969368,0.6353110074996948,-0.013245481997728348,-0.023677626624703407,1.7644585371017456
1702338957482823000,283.4988229980469,-0.7721419930458069,-0.013344000093638897,0.002426000079140067,0.6353039741516113,-0.013212651014328003,-0.023691637441515923,1.7644776105880737
1702338957582083800,283.59808374023436,-0.7721310257911682,-0.013295999728143215,0.0024800000246614218,0.6353189945220947,-0.013068669475615025,-0.02368590421974659,1.7644433975219727
1702338957681349400,283.6973493652344,-0.7721239924430847,-0.013256000354886055,0.0025289999321103096,0.6353279948234558,-0.012942405417561531,-0.023686256259679794,1.7644217014312744
1702338957780611800,283.79661181640626,-0.7721199989318848,-0.013237999752163887,0.0025839998852461576,0.6353330016136169,-0.01283472590148449,-0.023728273808956146,1.7644100189208984
1702338957879874300,283.8958742675781,-0.7721030116081238,-0.013225000351667404,0.0025869999080896378,0.6353539824485779,-0.012814205139875412,-0.023711668327450752,1.7643564939498901
1702338957979136800,283.99513671875,-0.7720959782600403,-0.013189000077545643,0.002606000052765012,0.6353619694709778,-0.012739329598844051,-0.02368006855249405,1.764334797859192
1702338958078401000,284.09440112304685,-0.7720959782600403,-0.013175999745726585,0.0026149998884648085,0.635362982749939,-0.01270892471075058,-0.023671431466937065,1.7643345594406128
1702338958177665000,284.1936650390625,-0.772104024887085,-0.013182999566197395,0.0026179999113082886,0.6353529691696167,-0.012712886556982994,-0.02368621714413166,1.764359951019287
1702338958276927500,284.2929274902344,-0.7721149921417236,-0.0132020004093647,0.0026080000679939985,0.6353390216827393,-0.012752068229019642,-0.0237030740827322,1.7643945217132568
