time,seconds_elapsed,y,z,x
1702338868000742100,173.8377421875,-27,46,-38
1702338868100499500,173.93749951171876,-27,46,-37
1702338868200492000,174.03749194335938,-27,45,-38
1702338868301825500,174.13882543945311,-28,45,-38
1702338868400566300,174.23756616210937,-28,45,-38
1702338868502270700,174.33927075195314,-28,46,-38
1702338868602055000,174.4390549316406,-27,45,-38
1702338868702146600,174.539146484375,-28,45,-38
1702338868801395000,174.63839501953126,-28,44,-37
1702338868901988000,174.73898803710938,-28,45,-38
1702338869000593700,174.83759375,-26,46,-39
1702338869100491000,174.93749096679687,-27,45,-38
1702338869200895700,175.03789575195313,-27,46,-38
1702338869301897700,175.13889770507814,-27,45,-38
1702338869402123800,175.23912377929688,-27,46,-38
1702338869501867500,175.33886743164064,-27,46,-38
1702338869602007300,175.43900732421875,-28,45,-37
1702338869702081300,175.53908129882814,-28,45,-38
1702338869801493500,175.63849340820312,-28,46,-37
1702338869902095000,175.73909521484376,-28,45,-38
1702338870000674800,175.8376748046875,-29,47,-37
1702338870100495600,175.93749560546874,-28,46,-37
1702338870202197800,176.03919775390625,-28,46,-37
1702338870301782500,176.13878247070312,-28,45,-38
1702338870401894400,176.2388942871094,-27,45,-38
1702338870500594200,176.33759423828124,-28,45,-38
1702338870601753000,176.43875317382813,-28,46,-38
1702338870702232600,176.53923266601564,-27,46,-38
1702338870800955600,176.63795556640625,-28,44,-37
1702338870902027000,176.7390270996094,-27,46,-38
1702338871000546800,176.837546875,-28,45,-38
1702338871100550000,176.9375498046875,-28,46,-38
1702338871200498400,177.03749853515626,-28,45,-38
1702338871300615000,177.13761499023437,-28,45,-38
1702338871402012700,177.2390126953125,-28,45,-37
1702338871502123000,177.339123046875,-28,45,-37
1702338871601342000,177.43834204101563,-28,45,-38
1702338871701882400,177.53888232421875,-28,46,-39
1702338871802106000,177.63910620117187,-28,45,-38
1702338871902392800,177.73939282226561,-28,45,-37
1702338872000657000,177.83765698242186,-28,45,-38
1702338872100490000,177.93748999023438,-28,45,-38
1702338872200487400,178.0374873046875,-27,45,-38
1702338872302129700,178.13912963867188,-28,45,-38
1702338872401910000,178.23890991210936,-27,45,-38
1702338872502063900,178.33906396484375,-28,45,-38
1702338872601211000,178.4382109375,-27,46,-38
1702338872701858000,178.53885815429686,-28,45,-38
1702338872802131200,178.63913110351564,-27,44,-38
1702338872900609500,178.7376096191406,-28,45,-38
1702338873000656100,178.83765625,-27,46,-38
1702338873100495400,178.93749536132813,-27,45,-38
1702338873202212900,179.039212890625,-28,45,-38
