time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1702338628323643100,16.03864306640625,0,0,3.216881036758423,15.637999534606934,0.00017902506806422025,0,256,19.9022638,50.0697136
1702338629317268000,17.03226806640625,0,0,3.2268171310424805,15.79800033569336,0.0001255138631677255,0,256,19.9022625,50.0697141
1702338630325522400,18.0405224609375,0,0,3.2368998527526855,16.757999420166016,0.00008727482781978324,0,256,19.9022615,50.0697144
1702338631343255000,19.058255126953124,0,0,3.7731590270996094,16.53499984741211,0.00041099521331489086,0,256,19.9022915,50.0697126
1702338632340147200,20.055147216796875,0,0,3.783128023147583,16.368000030517578,0.00029139078105799854,0,256,19.9023012,50.069712
1702338633325548500,21.040548583984375,0,0,3.7929818630218506,16.238000869750977,0.00020808173576369882,0,256,19.9023083,50.0697116
1702338634321750000,22.03675,0,0,3.8029439449310303,16.107999801635742,0.00014301099872682244,0,256,19.9023134,50.0697113
1702338635324670000,23.039669921875,0,0,3.8129732608795166,16.089000701904297,0.00009799726103665307,0,256,19.9023169,50.0697111
1702338636338962000,24.0539619140625,0,0,4.478816509246826,15.539999961853027,0.00044635889935307205,0,256,19.9023212,50.0697146
1702338637338871000,25.05387109375,0,0,4.4888153076171875,15.321000099182129,0.00030629659886471927,0,256,19.9023225,50.0697157
1702338638326047700,26.0410478515625,0,0,4.498687267303467,14.956000328063965,0.00021277263294905424,0,256,19.9023234,50.0697164
1702338639325240000,27.040239990234376,0,0,4.508678913116455,14.701000213623047,0.00014027599536348134,0,256,19.902324,50.0697169
1702338640324440300,28.0394404296875,0,0,4.518671035766602,14.663999557495117,0.00009152906568488106,0,256,19.9023245,50.0697172
1702338641347822000,29.062822021484376,0,0,4.355435371398926,14.46399974822998,0.0002841705863829702,0,256,19.9023267,50.0697151
1702338642338512000,30.053511962890624,0,0,4.365342140197754,14.468999862670898,0.0001970341836567968,0,256,19.9023274,50.0697145
1702338643319243500,31.034243408203125,0,0,4.375149250030518,14.47599983215332,0.00013774858962278813,0,256,19.9023279,50.069714
1702338644317426700,32.0324267578125,0,0,4.385131359100342,14.484000205993652,0.00009111269901040941,0,256,19.9023282,50.0697137
1702338645324579000,33.0395791015625,0,0,4.39520263671875,14.5,0.00005955354208708741,0,256,19.9023284,50.0697135
1702338646338385000,34.05338500976563,0,0,3.6649272441864014,14.904000282287598,0.0002718111500144005,0,256,19.9023075,50.0697133
1702338647322148000,35.03714819335938,0,0,3.67476487159729,15.105999946594238,0.00019448988314252347,0,256,19.9023002,50.0697133
1702338648336608500,36.0516083984375,0,0,3.6849095821380615,15.442000389099121,0.00013944294187240303,0,256,19.9022947,50.0697132
1702338649315242800,37.03024267578125,0,0,3.6946957111358643,15.510000228881836,0.0000967469168244861,0,256,19.9022907,50.0697132
1702338650336624000,38.0516240234375,0,0,3.704909563064575,15.913999557495117,0.00006632191070821136,0,256,19.9022879,50.0697131
1702338651323814000,39.03881396484375,0,0,5.5120625495910645,15.770999908447266,0.000296551501378417,0,256,19.9023117,50.0697138
1702338652325607200,40.04060717773437,0,0,5.522080898284912,15.663999557495117,0.00020717228471767157,0,256,19.9023193,50.069714
1702338653322666500,41.03766650390625,0,0,5.532051086425781,14.097000122070312,0.035072557628154755,0,256,19.9026417,50.0695787
1702338654323391000,42.03839086914063,0,0,5.54205846786499,11.842000007629395,0.0043900590389966965,0,256,19.9027183,50.0695889
1702338655322365200,43.037365234375,0,0,5.552048206329346,10.722000122070312,0.01016287598758936,0,256,19.9027515,50.0696093
1702338656321914000,44.0369140625,0,0,3.597379684448242,9.050000190734863,0.009929686784744263,0,256,19.9027025,50.0696257
1702338657324746500,45.03974658203125,0,0,3.607408046722412,9.079999923706055,0.008836619555950165,0,256,19.9026054,50.0696442
1702338658323345400,46.038345458984374,0,0,3.617393970489502,9.843999862670898,0.006907875183969736,0,256,19.9025077,50.0696627
1702338660914000000,48.628999755859375,0,0,4.1443657875061035,15.307999610900879,0.004641824401915073,0,256,19.9024073,50.0696883
1702338662339271700,50.05427172851562,0,0,4.158618450164795,12.137999534606934,0.007230315823107958,0,256,19.9025577,50.0696587
1702338663324564000,51.03956396484375,0,0,4.168471336364746,11.824000358581543,0.00663316436111927,0,256,19.9024799,50.0696758
1702338664325684000,52.04068408203125,0,0,4.178482532501221,12.331999778747559,0.0045937951654195786,0,256,19.9024175,50.0696893
1702338665324476400,53.03947631835938,0,0,4.188470363616943,12.670999526977539,0.0030359099619090557,0,256,19.9023728,50.0696988
1702338666312945700,54.027945556640624,0,0,3.5839946269989014,11.482000350952148,0.021333299577236176,0,256,19.9026899,50.0696429
1702338667337838800,55.0528388671875,0,0,3.5942435264587402,12.970000267028809,0.006500116549432278,0,256,19.902602,50.0696586
1702338668323351000,56.03835107421875,0,0,3.6040987968444824,13.005000114440918,0.006566228810697794,0,256,19.9025106,50.069675
1702338669324781800,57.03978173828125,0,0,3.6141130924224854,13.039999961853027,0.004614379722625017,0,256,19.9024362,50.0696882
1702338670319851800,58.034851806640624,0,0,3.624063730239868,13.074999809265137,0.003088406752794981,0,256,19.9023823,50.0696976
1702338671341514500,59.05651440429688,0,0,4.035351276397705,14.461999893188477,0.0014738099416717887,0,256,19.9023236,50.0697063
1702338672322987300,60.0379873046875,0,0,4.045166015625,14.418999671936035,0.0009512542164884508,0,256,19.9023057,50.0697089
1702338673323153700,61.038153564453125,0,0,4.0551676750183105,14.354000091552734,0.0006675409385934472,0,256,19.9022927,50.0697108
1702338674326231600,62.0412314453125,0,0,4.0651984214782715,14.236000061035156,0.00043929932871833444,0,256,19.9022838,50.0697121
1702338675322461400,63.03746142578125,0,0,4.075160980224609,14.16100025177002,0.0002858815132640302,0,256,19.9022779,50.069713
1702338676341709600,64.05670947265625,0,0,3.7436182498931885,14.694000244140625,0.0002637393190525472,0,256,19.9022838,50.0697147
1702338677337804800,65.0528046875,0,0,3.7535791397094727,14.961000442504883,0.00017807692347560078,0,256,19.9022858,50.0697153
1702338678322100500,66.0371005859375,0,0,3.7634220123291016,15.074999809265137,0.00013292058429215103,0,256,19.9022873,50.0697158
1702338679322834000,67.037833984375,0,0,3.7734293937683105,15.303000450134277,0.00009162508649751544,0,256,19.9022884,50.0697161
1702338680327234600,68.04223461914063,0,0,3.783473491668701,15.76099967956543,0.00006237900379346684,0,256,19.9022892,50.0697163
1702338681340174000,69.05517407226563,0,0,4.291312217712402,15.413000106811523,0.00034116918686777353,0,256,19.9022685,50.0697181
